country,2021,2022,2023,2024,2025
Australia,169158412726,198502533260,225499465333,237704731335,240051964741
Austria,14307436729,10571278484,13908542138,12034559582,17254681590
Bahrain,657446322,986824981,290817612,,
Bangladesh,1868576845,1527301357,1529050578,1612038467,1181396167
Belgium,47092405603,43348203395,54782498477,51615968758,60100344168
Brazil,39942133157,45873072206,66862209174,54552473376,57169849232
Canada,180736043979,183123270374,216868058619,284734598996,376463329252
Chile,4977155232,7459951390,7685666580,7909070642,11484350237
China,335003830659,328325073712,339610490100,462215479234,544116263032
Colombia,2711948021,2801308874,2488401639,1689196839,2051163631
Croatia,273866691,165437766,209534739,203063262,
Cyprus,9941324,,,,
Czech Republic,369077055,205616464,166900042,46176454,54573314
Denmark,104802660851,113933184491,157731092123,153134076029,109373262655
Egypt,4907714739,1895663247,1367587792,1139123597,1316846815
Estonia,110653697,96945058,130827902,226763176,
Finland,66523348908,65756532361,59503815712,47957515220,64424756713
France,433966857720,419228385894,476448544928,436645514990,428420590168
Germany,362812265432,326203597899,399560439613,449949319863,474137206874
Greece,3308733663,4142664294,6880656069,9527346259,14372661623
Hong Kong,78336811689,84108022120,71971472568,81283652145,88649597365
Hungary,1742914073,1610400336,2691214837,3011920520,4488846323
Iceland,10952743,,,,
India,144090115010,174034871989,243646724564,349948766548,318169323945
Indonesia,15309544303,22646899298,26196824541,26438437996,20357525440
Ireland,9265909013,8786102102,10273290354,14774620797,23371842826
Israel,14093380044,13140625589,15313796946,22198319565,21032917727
Italy,103877268212,95031381602,113457347289,128075118443,162214978793
Japan,629942945214,631960801556,791271598409,955195302054,970525375668
Jordan,,,,,25054828
Kenya,1605947990,1457826108,936209270,1971346554,2283813845
Kuwait,4205271454,7973116742,6994461957,8290547350,8458604802
Kyrgyzstan,42791995,23731021,13379951,365871,348981
Latvia,5582674,2436021,2392063,1788783,20200759
Liechtenstein,,,17330837,8963468,46281439
Lithuania,99751918,68811676,85890959,131129804,195525124
Luxembourg,,,,1255531452,
Malaysia,16930679764,18688555197,20770179745,30724660918,28256470146
Mexico,23294213344,28274438649,39648980650,30810596243,37566258792
Moldova,45987102,28684327,38481889,33052056,
Morocco,89471633,44769314,150170023,243821390,207489382
Netherlands,208861834436,192498952716,247386891166,257538431393,267723482958
New Zealand,10298618054,9993701405,10856490989,11830701871,9464122462
Nigeria,264465367,246825814,189853091,,
Panama,,,2531785,541960,85160249
Peru,296677426,208018205,44268932,90308680,372996618
Philippines,8901816400,8066923459,8938015198,9657049118,7013952629
Poland,15812461864,12538080217,16129616084,13961993536,22954800485
Portugal,9217468387,11316575390,17656106668,13459656444,8691770441
Qatar,8415210047,10925656989,12402894862,12514700452,11532568731
Romania,896013602,673712594,793116978,350768329,15425501
Russia,27431627628,2872661121,1423129044,2361167324,1371423027
Singapore,35201613956,42104907093,50118507728,72313063704,63738587728
Slovenia,868057306,673745813,696313579,829097360,355176953
South Africa,33006781497,34840616424,37484976984,53043430868,85302071410
South Korea,151952503361,134296538917,196308175644,164322796240,278500987274
Spain,106575942156,111085728782,136557162842,130598779021,168916481352
Sri Lanka,705066781,349579116,570994216,1040059384,629829962
Sweden,181934777387,143062561525,168433130338,165402159820,180049442130
Switzerland,409737629422,388162520552,457160725891,457818216446,458075346725
Taiwan,201928988108,168656288404,233180675000,348751645606,406643146082
Thailand,25259136073,28920297237,27305536578,29609457301,23754582594
Tunisia,17152116,15202209,14811009,,
Turkey,4277675160,11988979817,,,
Türkiye,,,13263934560,17872593189,17383797999
Ukraine,220090774,137432733,34910672,12121729,19737703
United Arab Emirates,10170178284,17401985174,21995119590,34750329063,34701690282
United Kingdom,650278218871,611008838250,702000721552,764118600292,748845169230
United States,3972125524291,3790664724368,5434238415145,8166284458642,8294346293534
Vietnam,6664180171,5100104070,6099771087,7942364750,4687652990
