year,report_date,holding_records,distinct_company_names,countries,regions,industries,total_market_value_nok,total_market_value_usd,missing_company,missing_country,missing_industry,missing_market_value_nok,missing_market_value_usd,missing_voting_pct,missing_ownership_pct,missing_incorporation_country,negative_market_value_records,negative_ownership_records,negative_voting_records,duplicate_company_names
1998,1998-12-31,2085,2084,21,4,10,66801619763,8844534430,0,0,0,0,0,0,0,0,0,0,0,1
1999,1999-12-31,2023,2022,21,4,10,93100359451,11583680824,0,0,0,0,0,0,0,0,0,0,0,1
2000,2000-12-31,1786,1785,22,4,10,151031634870,17126680830,0,0,0,0,0,0,0,0,0,0,0,1
2001,2001-12-31,2322,2321,27,5,10,241662275322,26943270402,0,0,0,0,0,0,0,0,0,0,0,1
2002,2002-12-31,2426,2425,27,5,10,227220121000,32798308415,0,0,0,0,0,0,0,0,0,0,0,1
2003,2003-12-31,2774,2774,28,5,10,353870466398,53191207673,0,0,0,0,0,0,0,0,0,0,0,0
2004,2004-12-31,3055,3053,45,7,10,406671323615,67144042744,0,0,0,0,0,0,0,0,0,0,0,2
2005,2005-12-31,3288,3287,47,7,10,575964266583,85060257210,0,0,0,0,0,0,0,0,1,1,0,1
2006,2006-12-31,3398,3396,50,7,10,717557421551,115245275615,0,0,0,0,0,0,0,0,18,18,0,2
2007,2007-12-31,7370,7370,59,7,10,943819836000,173820609459,0,0,0,0,0,0,0,0,59,58,1,0
2008,2008-12-31,7851,7851,55,7,10,1124015696819,160525513342,0,0,0,0,0,0,0,0,24,0,0,0
2009,2009-12-31,8335,8335,57,7,10,1644805410674,284726044008,0,0,0,0,0,0,0,0,0,0,0,0
2010,2010-12-31,8495,8494,58,7,10,1893500388510,325763507717,0,0,0,0,0,0,0,0,0,0,0,1
2011,2011-12-31,8001,8001,58,7,10,1940501225365,325153733780,0,0,0,0,0,0,0,0,0,0,0,0
2012,2012-12-31,7428,7428,65,7,10,2325344658250,417832920061,0,0,0,0,0,0,0,0,0,0,0,0
2013,2013-12-31,8213,8213,74,7,10,3128585319094,515685292952,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-12-31,9134,9134,66,7,10,3949813532673,526813896934,0,0,0,0,0,0,0,0,0,0,0,0
2015,2015-12-31,9050,9050,70,7,10,4598240563603,519495959847,0,0,0,0,0,0,0,0,0,0,0,0
2016,2016-12-31,8985,8985,70,7,10,4706485294821,546776176628,0,0,0,0,0,0,0,0,0,0,0,0
2017,2017-12-31,9106,9106,67,7,10,5680528216683,694496288480,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-12-31,9157,9157,70,7,10,5478748989125,632712100970,0,0,0,0,0,0,0,0,0,0,0,0
2019,2019-12-31,9202,9202,71,7,10,7152951334262,814010091374,0,0,0,0,0,0,0,0,0,0,0,0
2020,2020-12-31,9123,9123,69,7,10,7972384318994,931141283548,0,0,0,0,0,0,0,0,0,0,0,0
2021,2021-12-31,9338,9338,65,7,11,8897849756453,1009021056653,0,0,0,0,0,0,0,0,0,0,0,0
2022,2022-12-31,9228,9228,63,7,11,8579839477548,870961270695,0,0,0,0,0,0,0,0,0,0,0,0
2023,2023-12-31,8859,8859,65,7,11,11176291143234,1100494416258,0,0,0,0,0,0,0,0,0,0,0,0
2024,2024-12-31,8659,8659,63,7,11,14603769450558,1285843040083,0,0,0,0,0,0,0,0,0,0,0,0
2025,2025-12-31,7201,7201,60,7,11,15183019393446,1505229040757,0,0,0,0,0,0,0,0,0,0,0,0
