source_file,report_date,year,file_size_bytes,md5,source_format,worksheet,source_columns,expected_schema,source_url
gpfg-equities-1998-12-31.xlsx,1998-12-31,1998,117326,f813242b3c7f59581c901ed2dc7c1350,xlsx,Holdings Report,9,TRUE,https://www.nbim.no/api/investments/v2/report/?assetType=eq&date=1998-12-31&fileType=xlsx
gpfg-equities-1999-12-31.xlsx,1999-12-31,1999,111298,335f8c2a433cd83bbb503faa62849a69,xlsx,Holdings Report,9,TRUE,https://www.nbim.no/api/investments/v2/report/?assetType=eq&date=1999-12-31&fileType=xlsx
gpfg-equities-2000-12-31.xlsx,2000-12-31,2000,100382,1a10916c43943a6623646cc0c9a17aff,xlsx,Holdings Report,9,TRUE,https://www.nbim.no/api/investments/v2/report/?assetType=eq&date=2000-12-31&fileType=xlsx
gpfg-equities-2001-12-31.xlsx,2001-12-31,2001,130895,b0d1e8cf121e69f14880215ee16e9e60,xlsx,Holdings Report,9,TRUE,https://www.nbim.no/api/investments/v2/report/?assetType=eq&date=2001-12-31&fileType=xlsx
gpfg-equities-2002-12-31.xlsx,2002-12-31,2002,132525,345d05bba8da05f01efcb6edb5d7f6a2,xlsx,Holdings Report,9,TRUE,https://www.nbim.no/api/investments/v2/report/?assetType=eq&date=2002-12-31&fileType=xlsx
gpfg-equities-2003-12-31.xlsx,2003-12-31,2003,166009,e93184a56a1803b4c6bd4352e1e2b77b,xlsx,Holdings Report,9,TRUE,https://www.nbim.no/api/investments/v2/report/?assetType=eq&date=2003-12-31&fileType=xlsx
gpfg-equities-2004-12-31.xlsx,2004-12-31,2004,182762,001f62f6dd17c8d1b486569ca972bdac,xlsx,Holdings Report,9,TRUE,https://www.nbim.no/api/investments/v2/report/?assetType=eq&date=2004-12-31&fileType=xlsx
gpfg-equities-2005-12-31.xlsx,2005-12-31,2005,197149,8d746c096f47f200f2c301d08cb5edf5,xlsx,Holdings Report,9,TRUE,https://www.nbim.no/api/investments/v2/report/?assetType=eq&date=2005-12-31&fileType=xlsx
gpfg-equities-2006-12-31.xlsx,2006-12-31,2006,193573,229f5f9f808b76db35655cfa8d92b491,xlsx,Holdings Report,9,TRUE,https://www.nbim.no/api/investments/v2/report/?assetType=eq&date=2006-12-31&fileType=xlsx
gpfg-equities-2007-12-31.xlsx,2007-12-31,2007,390407,0a6da33d202a3ab567cba30aef4b77ab,xlsx,Holdings Report,9,TRUE,https://www.nbim.no/api/investments/v2/report/?assetType=eq&date=2007-12-31&fileType=xlsx
gpfg-equities-2008-12-31.xlsx,2008-12-31,2008,471955,cb3eea59bfdb55acd37d07df502741a8,xlsx,Holdings Report,9,TRUE,https://www.nbim.no/api/investments/v2/report/?assetType=eq&date=2008-12-31&fileType=xlsx
gpfg-equities-2009-12-31.xlsx,2009-12-31,2009,510664,e2d19bb904ba4bc76a12fd2705bb6ec6,xlsx,Holdings Report,9,TRUE,https://www.nbim.no/api/investments/v2/report/?assetType=eq&date=2009-12-31&fileType=xlsx
gpfg-equities-2010-12-31.xlsx,2010-12-31,2010,511971,3e17fdb6013cd2aa53845cc9465b8c7b,xlsx,Holdings Report,9,TRUE,https://www.nbim.no/api/investments/v2/report/?assetType=eq&date=2010-12-31&fileType=xlsx
gpfg-equities-2011-12-31.xlsx,2011-12-31,2011,478744,174de0abb168df0ab3c3c45faf79aff0,xlsx,Holdings Report,9,TRUE,https://www.nbim.no/api/investments/v2/report/?assetType=eq&date=2011-12-31&fileType=xlsx
gpfg-equities-2012-12-31.xlsx,2012-12-31,2012,448062,ee6d5c0f5e69ca306676cb9823020a86,xlsx,Holdings Report,9,TRUE,https://www.nbim.no/api/investments/v2/report/?assetType=eq&date=2012-12-31&fileType=xlsx
gpfg-equities-2013-12-31.xlsx,2013-12-31,2013,503417,532890bba6c7824ac40668aa1f6bb8cd,xlsx,Holdings Report,9,TRUE,https://www.nbim.no/api/investments/v2/report/?assetType=eq&date=2013-12-31&fileType=xlsx
gpfg-equities-2014-12-31.xlsx,2014-12-31,2014,557793,5ea3baa9486f33177c2ca3ef35f83fe0,xlsx,Holdings Report,9,TRUE,https://www.nbim.no/api/investments/v2/report/?assetType=eq&date=2014-12-31&fileType=xlsx
gpfg-equities-2015-12-31.xlsx,2015-12-31,2015,552909,2af036a526a60e78a98ccb4da5426538,xlsx,Holdings Report,9,TRUE,https://www.nbim.no/api/investments/v2/report/?assetType=eq&date=2015-12-31&fileType=xlsx
gpfg-equities-2016-12-31.xlsx,2016-12-31,2016,526166,d0ea497c3fd165c95e13257947cdc7bf,xlsx,Holdings Report,9,TRUE,https://www.nbim.no/api/investments/v2/report/?assetType=eq&date=2016-12-31&fileType=xlsx
gpfg-equities-2017-12-31.xlsx,2017-12-31,2017,558397,b117d8b47a72e56ca5487ad3dabe9446,xlsx,Holdings Report,9,TRUE,https://www.nbim.no/api/investments/v2/report/?assetType=eq&date=2017-12-31&fileType=xlsx
gpfg-equities-2018-12-31.xlsx,2018-12-31,2018,513508,dbe49973482c4224f572187f9dcc7158,xlsx,Holdings Report,9,TRUE,https://www.nbim.no/api/investments/v2/report/?assetType=eq&date=2018-12-31&fileType=xlsx
gpfg-equities-2019-12-31.xlsx,2019-12-31,2019,517407,697ebae2371fc4bfc5b4a17c1f924c7c,xlsx,Holdings Report,9,TRUE,https://www.nbim.no/api/investments/v2/report/?assetType=eq&date=2019-12-31&fileType=xlsx
gpfg-equities-2020-12-31.xlsx,2020-12-31,2020,512968,440161f9ee55af6a83fe2f2f30479b4b,xlsx,Holdings Report,9,TRUE,https://www.nbim.no/api/investments/v2/report/?assetType=eq&date=2020-12-31&fileType=xlsx
gpfg-equities-2021-12-31.xlsx,2021-12-31,2021,524078,09ae91a0f46c9985e9f75ee5360387d7,xlsx,Holdings Report,9,TRUE,https://www.nbim.no/api/investments/v2/report/?assetType=eq&date=2021-12-31&fileType=xlsx
gpfg-equities-2022-12-31.xlsx,2022-12-31,2022,511727,c2caf9063b0e33b6feb6bc828d49c569,xlsx,Holdings Report,9,TRUE,https://www.nbim.no/api/investments/v2/report/?assetType=eq&date=2022-12-31&fileType=xlsx
gpfg-equities-2023-12-31.xlsx,2023-12-31,2023,492746,f15ccde6bdccd36206cb05e0b0f56235,xlsx,Holdings Report,9,TRUE,https://www.nbim.no/api/investments/v2/report/?assetType=eq&date=2023-12-31&fileType=xlsx
gpfg-equities-2024-12-31.xlsx,2024-12-31,2024,486176,e3d429fb3ed64c04b11f179ba53490a3,xlsx,Holdings Report,9,TRUE,https://www.nbim.no/api/investments/v2/report/?assetType=eq&date=2024-12-31&fileType=xlsx
gpfg-equities-2025-12-31.xlsx,2025-12-31,2025,403228,6e4179a4f4ed3bed5be8067ed4db836a,xlsx,Holdings Report,9,TRUE,https://www.nbim.no/api/investments/v2/report/?assetType=eq&date=2025-12-31&fileType=xlsx
